id,creator,data,content_type,gmv,comissao,pedidos,itens
natmarquesvi|2026-03-06|LIVE,natmarquesvi,2026-03-06,LIVE,379.95,45.6,5,5
jessicamesant|2026-03-06|VIDEO,jessicamesant,2026-03-06,VIDEO,339.44,25.78,4,4
pattylazzarotto|2026-03-06|VIDEO,pattylazzarotto,2026-03-06,VIDEO,248.07,7.99,3,3
_veridiana.ferreira|2026-03-06|LIVE,_veridiana.ferreira,2026-03-06,LIVE,239.7,23.97,3,3
carolmoraes.shop|2026-03-06|VIDEO,carolmoraes.shop,2026-03-06,VIDEO,239.7,23.97,1,3
laianenovaisss|2026-03-06|VIDEO,laianenovaisss,2026-03-06,VIDEO,163.05,7.99,2,2
natmarquesvi|2026-03-06|VIDEO,natmarquesvi,2026-03-06,VIDEO,159.8,19.18,1,2
matheuslimashop|2026-03-06|VIDEO,matheuslimashop,2026-03-06,VIDEO,159.8,0.0,2,2
dicasdathayoficial|2026-03-06|VIDEO,dicasdathayoficial,2026-03-06,VIDEO,159.8,0.0,1,2
narashoptkk|2026-03-06|VIDEO,narashoptkk,2026-03-06,VIDEO,144.38,14.44,1,2
yasmin.aoliveira|2026-03-06|VIDEO,yasmin.aoliveira,2026-03-06,VIDEO,94.9,0.0,1,1
.familiapimentel|2026-03-06|VIDEO,.familiapimentel,2026-03-06,VIDEO,85.02,8.93,1,1
robertakguilherme|2026-03-06|VIDEO,robertakguilherme,2026-03-06,VIDEO,85.02,8.93,1,1
vivilopes.021|2026-03-06|LINKSHARE,vivilopes.021,2026-03-06,LINKSHARE,85.02,8.5,1,1
flavinha.brand|2026-03-06|VIDEO,flavinha.brand,2026-03-06,VIDEO,85.02,0.0,1,1
tuanenozaki|2026-03-06|SHOP,tuanenozaki,2026-03-06,SHOP,83.15,8.32,1,1
dayinventando|2026-03-06|LINKSHARE,dayinventando,2026-03-06,LINKSHARE,83.15,4.16,1,1
allinesoares0|2026-03-06|LINKSHARE,allinesoares0,2026-03-06,LINKSHARE,83.15,4.16,1,1
carolxcreatorshop|2026-03-06|VIDEO,carolxcreatorshop,2026-03-06,VIDEO,79.9,7.99,1,1
npossebon|2026-03-06|VIDEO,npossebon,2026-03-06,VIDEO,79.9,7.99,1,1
loami.naama|2026-03-06|LIVE,loami.naama,2026-03-06,LIVE,79.9,7.99,1,1
andreapaiva270881|2026-03-06|SHOP,andreapaiva270881,2026-03-06,SHOP,79.9,7.99,1,1
brunaapiress_|2026-03-06|LINKSHARE,brunaapiress_,2026-03-06,LINKSHARE,79.9,7.99,1,1
compracomigoofertas|2026-03-06|SHOP,compracomigoofertas,2026-03-06,SHOP,79.9,7.99,1,1
dra.adriane_demko|2026-03-06|SHOP,dra.adriane_demko,2026-03-06,SHOP,79.9,7.99,1,1
bialuzzmodas|2026-03-06|VIDEO,bialuzzmodas,2026-03-06,VIDEO,79.9,0.0,1,1
robertarsampaio7|2026-03-06|LIVE,robertarsampaio7,2026-03-06,LIVE,79.9,0.0,1,1
mih.sibeli|2026-03-06|SHOP,mih.sibeli,2026-03-06,SHOP,79.9,7.99,1,1
jehfigueiredocreator|2026-03-06|VIDEO,jehfigueiredocreator,2026-03-06,VIDEO,79.9,7.99,1,1
silsantiagotrc|2026-03-06|VIDEO,silsantiagotrc,2026-03-06,VIDEO,79.9,7.99,1,1
streetstore_02|2026-03-06|VIDEO,streetstore_02,2026-03-06,VIDEO,79.9,7.99,1,1
gabbizie|2026-03-06|VIDEO,gabbizie,2026-03-06,VIDEO,79.9,7.99,1,1
allynnelanger|2026-03-06|VIDEO,allynnelanger,2026-03-06,VIDEO,79.9,7.99,1,1
lidikpf6|2026-03-06|VIDEO,lidikpf6,2026-03-06,VIDEO,79.9,7.99,1,1
yaponts|2026-03-06|VIDEO,yaponts,2026-03-06,VIDEO,79.9,7.99,1,1
cintia.thies|2026-03-06|VIDEO,cintia.thies,2026-03-06,VIDEO,79.9,7.99,1,1
brenda.theblushlab|2026-03-06|VIDEO,brenda.theblushlab,2026-03-06,VIDEO,79.9,7.99,1,1
hitalasantiago|2026-03-06|VIDEO,hitalasantiago,2026-03-06,VIDEO,79.9,0.0,1,1
gleysaaguiar|2026-03-06|VIDEO,gleysaaguiar,2026-03-06,VIDEO,79.9,0.0,1,1
kcomkarina|2026-03-06|VIDEO,kcomkarina,2026-03-06,VIDEO,72.19,7.22,1,1
tacianecreator|2026-03-07|VIDEO,tacianecreator,2026-03-07,VIDEO,7770.91,248.55,95,97
ee2ut0l0r4|2026-03-07|VIDEO,ee2ut0l0r4,2026-03-07,VIDEO,4219.28,151.04,51,53
_mareiis|2026-03-07|LIVE,_mareiis,2026-03-07,LIVE,4196.29,419.63,53,60
ericamcabeluda|2026-03-07|VIDEO,ericamcabeluda,2026-03-07,VIDEO,3549.24,211.11,45,45
thainabeautyoficial|2026-03-07|VIDEO,thainabeautyoficial,2026-03-07,VIDEO,2769.0,189.43,32,35
leticiatsec|2026-03-07|VIDEO,leticiatsec,2026-03-07,VIDEO,2541.73,114.95,30,30
numarchi|2026-03-07|VIDEO,numarchi,2026-03-07,VIDEO,1510.48,119.09,19,19
alinecavanellas|2026-03-07|VIDEO,alinecavanellas,2026-03-07,VIDEO,1344.96,66.47,16,16
pattylazzarotto|2026-03-07|VIDEO,pattylazzarotto,2026-03-07,VIDEO,1065.68,48.68,12,13
adv.dayane|2026-03-07|LIVE,adv.dayane,2026-03-07,LIVE,1041.08,104.11,10,13
natmarquesvi|2026-03-07|LIVE,natmarquesvi,2026-03-07,LIVE,831.73,91.16,11,11
nati_sus|2026-03-07|VIDEO,nati_sus,2026-03-07,VIDEO,595.14,8.5,7,7
dailycah08|2026-03-07|LIVE,dailycah08,2026-03-07,LIVE,559.92,56.0,8,8
maritips_|2026-03-07|VIDEO,maritips_,2026-03-07,VIDEO,559.3,55.93,7,7
laianenovaisss|2026-03-07|VIDEO,laianenovaisss,2026-03-07,VIDEO,551.59,31.19,7,7
jessicamesant|2026-03-07|VIDEO,jessicamesant,2026-03-07,VIDEO,422.59,34.51,5,5
dicasdathayoficial|2026-03-07|VIDEO,dicasdathayoficial,2026-03-07,VIDEO,399.5,0.0,5,5
yasmin.aoliveira|2026-03-07|VIDEO,yasmin.aoliveira,2026-03-07,VIDEO,379.6,0.0,4,4
thami.brambilla|2026-03-07|VIDEO,thami.brambilla,2026-03-07,VIDEO,329.6,15.98,4,4
.familiapimentel|2026-03-07|VIDEO,.familiapimentel,2026-03-07,VIDEO,311.89,7.99,4,4
silsantiagotrc|2026-03-07|VIDEO,silsantiagotrc,2026-03-07,VIDEO,239.7,23.97,3,3
gabbizie|2026-03-07|VIDEO,gabbizie,2026-03-07,VIDEO,239.7,23.97,3,3
lidikpf6|2026-03-07|VIDEO,lidikpf6,2026-03-07,VIDEO,239.7,23.97,3,3
bialuzzmodas|2026-03-07|VIDEO,bialuzzmodas,2026-03-07,VIDEO,231.99,7.99,3,3
elacatarina|2026-03-07|VIDEO,elacatarina,2026-03-07,VIDEO,224.28,22.43,3,3
essenciadani|2026-03-07|VIDEO,essenciadani,2026-03-07,VIDEO,159.98,0.0,2,2
_veridiana.ferreira|2026-03-07|LIVE,_veridiana.ferreira,2026-03-07,LIVE,159.8,15.98,2,2
revendeshop|2026-03-07|VIDEO,revendeshop,2026-03-07,VIDEO,159.8,15.98,2,2
kcomkarina|2026-03-07|LIVE,kcomkarina,2026-03-07,LIVE,159.8,15.98,1,2
hitalasantiago|2026-03-07|VIDEO,hitalasantiago,2026-03-07,VIDEO,159.8,7.99,2,2
rafaeleviviana|2026-03-07|LIVE,rafaeleviviana,2026-03-07,LIVE,159.8,15.98,1,2
larissapachecoindica|2026-03-07|VIDEO,larissapachecoindica,2026-03-07,VIDEO,159.8,15.98,2,2
laizaborgesferrari|2026-03-07|LIVE,laizaborgesferrari,2026-03-07,LIVE,159.8,15.98,2,2
abrunaindicaa|2026-03-07|VIDEO,abrunaindicaa,2026-03-07,VIDEO,152.09,7.22,2,2
arenatajardim|2026-03-07|VIDEO,arenatajardim,2026-03-07,VIDEO,152.09,15.21,2,2
glowvital2|2026-03-07|VIDEO,glowvital2,2026-03-07,VIDEO,152.09,15.21,2,2
laryoliveiira_|2026-03-07|LIVE,laryoliveiira_,2026-03-07,LIVE,94.9,9.49,1,1
studiogeislatairone|2026-03-07|LINKSHARE,studiogeislatairone,2026-03-07,LINKSHARE,85.02,8.5,1,1
jonisasouza4|2026-03-07|SHOP,jonisasouza4,2026-03-07,SHOP,85.02,8.5,1,1
yoh.nobre|2026-03-07|SHOP,yoh.nobre,2026-03-07,SHOP,85.02,8.93,1,1
cleodaaily|2026-03-07|VIDEO,cleodaaily,2026-03-07,VIDEO,85.02,8.5,1,1
robertakguilherme|2026-03-07|VIDEO,robertakguilherme,2026-03-07,VIDEO,85.02,8.93,1,1
vitordio1rr|2026-03-07|VIDEO,vitordio1rr,2026-03-07,VIDEO,83.15,8.32,1,1
eu.lidiannemartins|2026-03-07|VIDEO,eu.lidiannemartins,2026-03-07,VIDEO,83.15,0.0,1,1
danijeans|2026-03-07|VIDEO,danijeans,2026-03-07,VIDEO,79.99,8.0,1,1
shenna.topcreator|2026-03-07|VIDEO,shenna.topcreator,2026-03-07,VIDEO,79.99,8.0,1,1
bbrualvess|2026-03-07|VIDEO,bbrualvess,2026-03-07,VIDEO,79.9,7.99,1,1
mariaaugustareiss|2026-03-07|VIDEO,mariaaugustareiss,2026-03-07,VIDEO,79.9,7.99,1,1
edja.shop|2026-03-07|LIVE,edja.shop,2026-03-07,LIVE,79.9,7.99,1,1
danijeans|2026-03-07|LIVE,danijeans,2026-03-07,LIVE,79.9,7.99,1,1
nildavendasoficial|2026-03-07|LIVE,nildavendasoficial,2026-03-07,LIVE,79.9,7.99,1,1
npossebon|2026-03-07|VIDEO,npossebon,2026-03-07,VIDEO,79.9,7.99,1,1
dudaalmeidaofc1|2026-03-07|VIDEO,dudaalmeidaofc1,2026-03-07,VIDEO,79.9,7.99,1,1
lidikpf6|2026-03-07|SHOP,lidikpf6,2026-03-07,SHOP,79.9,7.99,1,1
rosiquelecosta1|2026-03-07|SHOP,rosiquelecosta1,2026-03-07,SHOP,79.9,7.99,1,1
thalyytaguedes|2026-03-07|VIDEO,thalyytaguedes,2026-03-07,VIDEO,79.9,7.99,1,1
shop.achadinhosss|2026-03-07|VIDEO,shop.achadinhosss,2026-03-07,VIDEO,79.9,7.99,1,1
brenda.theblushlab|2026-03-07|VIDEO,brenda.theblushlab,2026-03-07,VIDEO,79.9,7.99,1,1
kcomkarina|2026-03-07|VIDEO,kcomkarina,2026-03-07,VIDEO,79.9,7.99,1,1
tacianecreator|2026-03-07|LIVE,tacianecreator,2026-03-07,LIVE,79.9,7.99,1,1
garimpandocomlary|2026-03-07|LINKSHARE,garimpandocomlary,2026-03-07,LINKSHARE,79.9,7.99,1,1
thais.nepomucen0|2026-03-07|SHOP,thais.nepomucen0,2026-03-07,SHOP,79.9,7.99,1,1
mo.joanaa|2026-03-07|VIDEO,mo.joanaa,2026-03-07,VIDEO,79.9,7.99,1,1
cvs96shop|2026-03-07|VIDEO,cvs96shop,2026-03-07,VIDEO,79.9,7.99,1,1
thay.desbessel|2026-03-07|SHOP,thay.desbessel,2026-03-07,SHOP,79.9,7.99,1,1
carolxcreatorshop|2026-03-07|VIDEO,carolxcreatorshop,2026-03-07,VIDEO,79.9,7.99,1,1
jessicap.braz|2026-03-07|VIDEO,jessicap.braz,2026-03-07,VIDEO,79.9,7.99,1,1
taniaribeiro_creator|2026-03-07|LINKSHARE,taniaribeiro_creator,2026-03-07,LINKSHARE,79.9,7.99,1,1
neldicasdemoda|2026-03-07|VIDEO,neldicasdemoda,2026-03-07,VIDEO,79.9,7.99,1,1
creatorleia|2026-03-07|LIVE,creatorleia,2026-03-07,LIVE,79.9,7.99,1,1
cacauabraao|2026-03-07|VIDEO,cacauabraao,2026-03-07,VIDEO,79.9,7.99,1,1
creatortiktokvip|2026-03-07|VIDEO,creatortiktokvip,2026-03-07,VIDEO,79.9,7.99,1,1
matheuslimashop|2026-03-07|VIDEO,matheuslimashop,2026-03-07,VIDEO,79.9,0.0,1,1
ellentiiffany|2026-03-07|LIVE,ellentiiffany,2026-03-07,LIVE,79.9,7.99,1,1
leka.aysla|2026-03-07|SHOP,leka.aysla,2026-03-07,SHOP,79.9,7.99,1,1
nanacasagrandi|2026-03-07|VIDEO,nanacasagrandi,2026-03-07,VIDEO,76.41,0.0,1,1
gleysaaguiar|2026-03-07|VIDEO,gleysaaguiar,2026-03-07,VIDEO,72.19,0.0,1,1
fabiecleon|2026-03-07|VIDEO,fabiecleon,2026-03-07,VIDEO,72.19,7.22,1,1
_mareiis|2026-03-08|LIVE,_mareiis,2026-03-08,LIVE,11160.6,1116.07,147,159
tacianecreator|2026-03-08|VIDEO,tacianecreator,2026-03-08,VIDEO,4420.01,337.41,54,56
ericamcabeluda|2026-03-08|VIDEO,ericamcabeluda,2026-03-08,VIDEO,2582.73,234.31,33,33
thainabeautyoficial|2026-03-08|VIDEO,thainabeautyoficial,2026-03-08,VIDEO,2302.25,207.13,26,29
ee2ut0l0r4|2026-03-08|VIDEO,ee2ut0l0r4,2026-03-08,VIDEO,1598.0,151.81,19,20
adv.dayane|2026-03-08|LIVE,adv.dayane,2026-03-08,LIVE,1198.08,120.28,14,15
leticiatsec|2026-03-08|VIDEO,leticiatsec,2026-03-08,VIDEO,1028.24,98.59,12,12
numarchi|2026-03-08|VIDEO,numarchi,2026-03-08,VIDEO,855.77,78.36,11,11
alinecavanellas|2026-03-08|VIDEO,alinecavanellas,2026-03-08,VIDEO,567.59,40.28,7,7
pattylazzarotto|2026-03-08|VIDEO,pattylazzarotto,2026-03-08,VIDEO,476.81,48.11,6,6
maritips_|2026-03-08|VIDEO,maritips_,2026-03-08,VIDEO,471.69,47.17,6,6
laianenovaisss|2026-03-08|VIDEO,laianenovaisss,2026-03-08,VIDEO,399.5,39.95,5,5
cintia.thies|2026-03-08|VIDEO,cintia.thies,2026-03-08,VIDEO,391.79,39.18,4,5
laryoliveiira_|2026-03-08|LIVE,laryoliveiira_,2026-03-08,LIVE,379.6,37.96,4,4
dicasdathayoficial|2026-03-08|VIDEO,dicasdathayoficial,2026-03-08,VIDEO,376.37,37.64,4,5
nati_sus|2026-03-08|VIDEO,nati_sus,2026-03-08,VIDEO,340.08,17.0,4,4
jessicamesant|2026-03-08|VIDEO,jessicamesant,2026-03-08,VIDEO,336.19,34.04,4,4
gabbizie|2026-03-08|VIDEO,gabbizie,2026-03-08,VIDEO,319.6,31.96,4,4
thami.brambilla|2026-03-08|VIDEO,thami.brambilla,2026-03-08,VIDEO,311.89,31.19,4,4
natmarquesvi|2026-03-08|LIVE,natmarquesvi,2026-03-08,LIVE,289.87,34.79,4,4
danijeans|2026-03-08|VIDEO,danijeans,2026-03-08,VIDEO,243.13,24.32,3,3
danijeans|2026-03-08|LIVE,danijeans,2026-03-08,LIVE,239.7,23.97,3,3
bialuzzmodas|2026-03-08|VIDEO,bialuzzmodas,2026-03-08,VIDEO,239.7,15.98,3,3
yaponts|2026-03-08|VIDEO,yaponts,2026-03-08,VIDEO,159.8,15.98,2,2
euvivianeborges|2026-03-08|VIDEO,euvivianeborges,2026-03-08,VIDEO,159.8,15.98,2,2
_veridiana.ferreira|2026-03-08|LIVE,_veridiana.ferreira,2026-03-08,LIVE,159.8,15.98,2,2
amarishopcreator|2026-03-08|VIDEO,amarishopcreator,2026-03-08,VIDEO,159.8,15.98,2,2
npossebon|2026-03-08|VIDEO,npossebon,2026-03-08,VIDEO,152.09,15.21,2,2
paulaoliveira12343|2026-03-08|LINKSHARE,paulaoliveira12343,2026-03-08,LINKSHARE,144.38,14.44,2,2
mypeacejoias|2026-03-08|VIDEO,mypeacejoias,2026-03-08,VIDEO,89.9,8.99,1,1
robertakguilherme|2026-03-08|VIDEO,robertakguilherme,2026-03-08,VIDEO,85.02,0.0,1,1
anepcss|2026-03-08|SHOP,anepcss,2026-03-08,SHOP,85.02,8.5,1,1
lu_dias10|2026-03-08|LIVE,lu_dias10,2026-03-08,LIVE,85.02,8.93,1,1
yoh.nobre|2026-03-08|SHOP,yoh.nobre,2026-03-08,SHOP,85.02,8.93,1,1
monicap.pereira|2026-03-08|VIDEO,monicap.pereira,2026-03-08,VIDEO,83.15,8.73,1,1
anacarolinamoretti|2026-03-08|LINKSHARE,anacarolinamoretti,2026-03-08,LINKSHARE,79.99,8.0,1,1
essenciadani|2026-03-08|VIDEO,essenciadani,2026-03-08,VIDEO,79.99,8.0,1,1
robertakguilherme|2026-03-08|SHOP,robertakguilherme,2026-03-08,SHOP,79.9,7.99,1,1
valenhoffmaann|2026-03-08|VIDEO,valenhoffmaann,2026-03-08,VIDEO,79.9,7.99,1,1
.familiapimentel|2026-03-08|VIDEO,.familiapimentel,2026-03-08,VIDEO,79.9,7.99,1,1
athaisfavero|2026-03-08|VIDEO,athaisfavero,2026-03-08,VIDEO,79.9,7.99,1,1
edja.shop|2026-03-08|LIVE,edja.shop,2026-03-08,LIVE,79.9,7.99,1,1
julianatenoriop|2026-03-08|VIDEO,julianatenoriop,2026-03-08,VIDEO,79.9,7.99,1,1
ogarimpodamaria|2026-03-08|VIDEO,ogarimpodamaria,2026-03-08,VIDEO,79.9,7.99,1,1
tacianecreator|2026-03-08|LIVE,tacianecreator,2026-03-08,LIVE,79.9,7.99,1,1
arenatajardim|2026-03-08|VIDEO,arenatajardim,2026-03-08,VIDEO,79.9,7.99,1,1
miiiihpires|2026-03-08|SHOP,miiiihpires,2026-03-08,SHOP,79.9,7.99,1,1
jess.jan22|2026-03-08|VIDEO,jess.jan22,2026-03-08,VIDEO,79.9,7.99,1,1
gleysaaguiar|2026-03-08|VIDEO,gleysaaguiar,2026-03-08,VIDEO,79.9,0.0,1,1
mariaaugustareiss|2026-03-08|VIDEO,mariaaugustareiss,2026-03-08,VIDEO,79.9,7.99,1,1
juliananolibos7|2026-03-08|VIDEO,juliananolibos7,2026-03-08,VIDEO,79.9,7.99,1,1
natmarquesvi|2026-03-08|VIDEO,natmarquesvi,2026-03-08,VIDEO,79.9,9.59,1,1
lidikpf6|2026-03-08|VIDEO,lidikpf6,2026-03-08,VIDEO,79.9,7.99,1,1
leilacronicasvidareal|2026-03-08|VIDEO,leilacronicasvidareal,2026-03-08,VIDEO,79.9,7.99,1,1
laizaborgesferrari|2026-03-08|LIVE,laizaborgesferrari,2026-03-08,LIVE,79.9,7.99,1,1
kcomkarina|2026-03-08|VIDEO,kcomkarina,2026-03-08,VIDEO,79.9,7.99,1,1
mo.joanaa|2026-03-08|VIDEO,mo.joanaa,2026-03-08,VIDEO,79.9,7.99,1,1
silsantiagotrc|2026-03-08|VIDEO,silsantiagotrc,2026-03-08,VIDEO,79.9,7.99,1,1
thaisbrito.digital|2026-03-08|VIDEO,thaisbrito.digital,2026-03-08,VIDEO,79.9,7.99,1,1
hitalasantiago|2026-03-08|VIDEO,hitalasantiago,2026-03-08,VIDEO,72.19,0.0,1,1
compreitesteieaprovei|2026-03-08|VIDEO,compreitesteieaprovei,2026-03-08,VIDEO,72.19,7.22,1,1
oficialmarta|2026-03-08|VIDEO,oficialmarta,2026-03-08,VIDEO,72.19,7.22,1,1
elacatarina|2026-03-08|VIDEO,elacatarina,2026-03-08,VIDEO,72.19,7.22,1,1
clubedeoferta1|2026-03-08|SHOP,clubedeoferta1,2026-03-08,SHOP,72.19,7.22,1,1
kcomkarina|2026-03-08|LIVE,kcomkarina,2026-03-08,LIVE,69.99,7.0,1,1
brenda.theblushlab|2026-03-08|VIDEO,brenda.theblushlab,2026-03-08,VIDEO,69.99,7.0,1,1
tacianecreator|2026-03-09|VIDEO,tacianecreator,2026-03-09,VIDEO,6130.75,215.6,73,76
ericamcabeluda|2026-03-09|VIDEO,ericamcabeluda,2026-03-09,VIDEO,3845.71,201.58,46,49
thainabeautyoficial|2026-03-09|VIDEO,thainabeautyoficial,2026-03-09,VIDEO,3194.07,110.84,39,40
_mareiis|2026-03-09|LIVE,_mareiis,2026-03-09,LIVE,2955.8,295.58,39,42
pattylazzarotto|2026-03-09|VIDEO,pattylazzarotto,2026-03-09,VIDEO,2639.49,95.78,33,33
leticiatsec|2026-03-09|VIDEO,leticiatsec,2026-03-09,VIDEO,2132.86,104.17,24,25
alinecavanellas|2026-03-09|VIDEO,alinecavanellas,2026-03-09,VIDEO,1808.84,90.42,22,22
numarchi|2026-03-09|VIDEO,numarchi,2026-03-09,VIDEO,1415.07,102.33,17,18
adv.dayane|2026-03-09|LIVE,adv.dayane,2026-03-09,LIVE,1266.23,126.63,16,16
thami.brambilla|2026-03-09|VIDEO,thami.brambilla,2026-03-09,VIDEO,812.91,31.19,10,10
laianenovaisss|2026-03-09|VIDEO,laianenovaisss,2026-03-09,VIDEO,779.27,53.96,10,10
.familiapimentel|2026-03-09|VIDEO,.familiapimentel,2026-03-09,VIDEO,719.1,7.99,9,9
dicasdathayoficial|2026-03-09|VIDEO,dicasdathayoficial,2026-03-09,VIDEO,711.39,7.22,9,9
natmarquesvi|2026-03-09|LIVE,natmarquesvi,2026-03-09,LIVE,691.57,78.2,9,9
lidikpf6|2026-03-09|VIDEO,lidikpf6,2026-03-09,VIDEO,636.25,63.63,7,8
gabbizie|2026-03-09|VIDEO,gabbizie,2026-03-09,VIDEO,558.09,55.82,6,7
nati_sus|2026-03-09|VIDEO,nati_sus,2026-03-09,VIDEO,510.12,51.0,6,6
jessicamesant|2026-03-09|VIDEO,jessicamesant,2026-03-09,VIDEO,436.27,8.32,5,5
ee2ut0l0r4|2026-03-09|VIDEO,ee2ut0l0r4,2026-03-09,VIDEO,319.6,15.98,4,4
bialuzzmodas|2026-03-09|VIDEO,bialuzzmodas,2026-03-09,VIDEO,319.6,7.99,4,4
maritips_|2026-03-09|VIDEO,maritips_,2026-03-09,VIDEO,311.89,23.2,4,4
yasmin.aoliveira|2026-03-09|VIDEO,yasmin.aoliveira,2026-03-09,VIDEO,272.95,8.32,3,3
gleysaaguiar|2026-03-09|VIDEO,gleysaaguiar,2026-03-09,VIDEO,239.7,0.0,3,3
silsantiagotrc|2026-03-09|VIDEO,silsantiagotrc,2026-03-09,VIDEO,235.24,15.21,3,3
nay.tarcia|2026-03-09|LIVE,nay.tarcia,2026-03-09,LIVE,209.97,21.0,3,3
robertakguilherme|2026-03-09|VIDEO,robertakguilherme,2026-03-09,VIDEO,170.04,0.0,2,2
layonshoping|2026-03-09|VIDEO,layonshoping,2026-03-09,VIDEO,159.98,16.0,1,2
lozershop.shoppe|2026-03-09|LINKSHARE,lozershop.shoppe,2026-03-09,LINKSHARE,159.8,15.98,2,2
natmarquesvi|2026-03-09|VIDEO,natmarquesvi,2026-03-09,VIDEO,159.8,19.18,2,2
amarishopcreator|2026-03-09|VIDEO,amarishopcreator,2026-03-09,VIDEO,159.8,15.98,2,2
