room_id,data,inicio,fim,duracao_h,apresentadora,origem,titulo
7674258018137787156,2026-08-15,11:00,12:19,1.31,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",SABADOU NA RHODEEE🔥
7674280122709560084,2026-08-15,12:26,14:00,1.56,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",SABADOU NA RHODEEE🔥
7675005420429937428,2026-08-17,11:21,14:00,2.65,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",SEGUNDOU DE PROMOS POR AQUI! 👀
7675061951006346004,2026-08-17,15:00,16:34,1.56,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",VOLTAMOS!!! CORRE MENINAS🔥
7675090715686554389,2026-08-17,16:52,18:00,1.13,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",VOLTAMOS!!! CORRE MENINAS🔥
7675373799088474901,2026-08-18,11:10,14:00,2.83,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",CHEGA MAIS MENINAS
7675742361603885844,2026-08-19,11:00,12:40,1.65,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",REPOSIÇÃO DA CALÇA ROSA BEBÊ
7675772587009395477,2026-08-19,12:58,14:00,1.04,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",REPOSIÇÃO DA CALÇA ROSA BEBÊ
7675889212918762260,2026-08-19,20:30,20:45,0.24,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid","REPOSIÇÃO DE ESTOQUE, CHEGA MAIS"
7675895879670860564,2026-08-19,20:56,21:46,0.84,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid","REPOSIÇÃO DE ESTOQUE, CHEGA MAIS"
7675914033623157524,2026-08-19,22:07,22:54,0.78,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid","REPOSIÇÃO DE ESTOQUE, CHEGA MAIS"
7675929497846565653,2026-08-19,23:07,23:30,0.38,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid","REPOSIÇÃO DE ESTOQUE, CHEGA MAIS"
7676114121972828949,2026-08-20,11:03,12:03,1.0,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",REPOSIÇÃO AGORAAA
7676132971286612757,2026-08-20,12:16,13:08,0.87,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",REPOSIÇÃO AGORAAA
7676148255559715604,2026-08-20,13:15,14:00,0.74,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",REPOSIÇÃO AGORAAA
7676485749328907028,2026-08-21,11:05,15:08,4.05,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",MEGA SALDÃO SHORTS E SAIA RHODE
7676855508431145748,2026-08-22,11:00,14:00,3.0,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",SABADOU BORA LÁ MENINAS
7677598229094222613,2026-08-24,11:02,11:02,0.01,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",ULTIMA CHANCE!!!
7677598676958251796,2026-08-24,11:04,14:00,2.93,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",ULTIMA CHANCE!!!
7677660260347661076,2026-08-24,15:03,18:00,2.95,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",VOLTAMOS!!! 👀🔴
7677968729631443733,2026-08-25,11:00,14:00,3.0,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",TERÇOU MENINAS BORA LÁ 🔴👀
7678115518498294549,2026-08-25,20:30,23:30,3.0,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",NOITE DE PROMOS 👀🚨
7678340793225186065,2026-08-26,11:04,11:31,0.45,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",CUPOM DE 20 REAIS @adv.dayane❤️
7678349144112499472,2026-08-26,11:36,15:20,3.73,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",CUPOM DE 20 REAIS @adv.dayane❤️
7678486683332807445,2026-08-26,20:30,22:27,1.95,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",ULTIMA CHANCE!!!
7678516888934877972,2026-08-26,22:27,23:30,1.05,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",ULTIMA CHANCE!!!
7678710982021499668,2026-08-27,11:00,14:00,3.0,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",BORA LÁ MENINAS
7678772713804778260,2026-08-27,15:00,16:42,1.7,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",VOLTAMOS!!! 👀
7678802547369069332,2026-08-27,16:56,18:00,1.07,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",VOLTAMOS!!! 👀
7679082043708984084,2026-08-28,11:00,11:12,0.19,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",SEXTOU DE RHODE JEANS
7679085146491374357,2026-08-28,11:12,14:01,2.81,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",SEXTOU DE RHODE JEANS
7679453415197526804,2026-08-29,11:01,13:30,2.47,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",ULTIMA CHANCE!!! 🔴👀
7680195663171570452,2026-08-31,11:01,14:00,2.98,Gabriela,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",ULTIMA CHANCE!!! 👀🔴
7680328835334359828,2026-08-31,19:38,22:13,2.57,Ingrid,"regra do dono 08/09: agosto = Gabriela, exceto 31/08 noite = Ingrid",VOLTAMOS!!! 👀🔴
